Name,Link,Difficulty,Solution,Session,Contributor
ShellSort,https://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=1093,med,10152.cpp,1,Bryon
Squares,https://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&category=24&problem=2402,med,11407.cpp,1,Bryon
Air Conditioned Minions,https://open.kattis.com/problems/airconditioned,med,airconditioned.cpp,1,Meta
Purple Rain,https://open.kattis.com/problems/purplerain,med,purplerain.cpp,1,Meta
Unique Paths,https://leetcode.com/problems/unique-paths/,med,unique-paths.cpp,1,Chris
Light more light,https://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=1051,easy,uva10110.cpp,1,Bryon
TEX Quotes,https://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=208,easy,uva272.cpp,1,Bryon
Little Black Book,https://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=391,med,uva450.cpp,1,Bryon
Popes,https://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=898,med,uva957.cpp,1,Bryon
String Popping,https://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=655&page=show_problem&problem=3702,hard,uva1261.cpp,1,Bryon